CourseCode,PrereqCourseCode
ACCT 202                      ,ACCT 201
ACCT 300                      ,ACCT 202
ACCT 301                      ,ACCT 202
ACCT 302                      ,ACCT 301
ACCT 303                      ,ACCT 202
ACCT 401                      ,ACCT 302
ACCT 403                      ,ACCT 302
ACCT 403                      ,BUSA 201
ACCT 406                      ,ACCT 405
ACCT 420                      ,ACCT 302
ACCT 424                      ,ACCT 403
BIOL 102                      ,BIOL 101
BIOL 234                      ,BIOL 101
BIOL 234                      ,CHEM 101
BIOL 301                      ,BIOL 101
BIOL 302                      ,BIOL 234
BIOL 312                      ,BIOL 234
BIOL 392                      ,BIOL 391
BIOL 402                      ,BIOL 101
BIOL 407                      ,BIOL 101
BIOL 407                      ,CHEM 101
BIOL 421                      ,BIOL 231
BIOL 429                      ,BIOL 311
BIOL 429                      ,BIOL 312
BIOL 430                      ,BIOL 311
BIOL 430                      ,BIOL 312
BIOL 430                      ,CHEM 241
BIOL 430                      ,PHYS 121
BUSA 201                      ,MATH 141
BUSA 301                      ,ACCT 201
BUSA 304                      ,BUSA 303
BUSA 304                      ,ECON 101
BUSA 305                      ,BUSA 203
BUSA 305                      ,BUSA 204
BUSA 408                      ,BUSA 303
BUSA 411                      ,BUSA 201
BUSA 411                      ,BUSA 203
BUSA 411                      ,BUSA 204
BUSA 412                      ,BUSA 204
BUSA 414                      ,BUSA 204
BUSA 415                      ,BUSA 204
BUSA 416                      ,BUSA 305
BUSA 419                      ,BUSA 201
BUSA 419                      ,BUSA 204
BUSA 423                      ,ACCT 202
BUSA 423                      ,BUSA 203
BUSA 423                      ,BUSA 204
BUSA 423                      ,BUSA 301
BUSA 430                      ,BUSA 301
BUSA 431                      ,BUSA 301
BUSA 432                      ,BUSA 301
BUSA 433                      ,BUSA 301
BUSA 434                      ,BUSA 301
BUSA 440                      ,BUSA 430
BUSA 440                      ,BUSA 432
BUSA 445                      ,BUSA 305
BUSA 452                      ,BUSA 203
BUSA 452                      ,COMP 101
BUSA 452                      ,COMP 341
BUSA 457                      ,BUSA 203
BUSA 458                      ,BUSA 203
CHEM 102                      ,CHEM 101
CHEM 227                      ,CHEM 102
CHEM 228                      ,CHEM 227
CHEM 241                      ,CHEM 102
CHEM 242                      ,CHEM 241
CHEM 345                      ,CHEM 102
CHEM 345                      ,CHEM 105
CHEM 346                      ,CHEM 102
CHEM 346                      ,CHEM 105
CHEM 351                      ,CHEM 242
CHEM 352                      ,CHEM 242
CHEM 425                      ,CHEM 228
CHEM 425                      ,CHEM 242
CHEM 428                      ,CHEM 425
CHEM 455                      ,CHEM 228
CHEM 455                      ,CHEM 242
CHEM 456                      ,CHEM 228
CHEM 456                      ,CHEM 242
CHEM 463                      ,CHEM 242
CHEM 466                      ,CHEM 242
EDUC 202                      ,EDUC 201
EDUC 372                      ,EDUC 371
EDUC 373                      ,EDUC 371
ELEE 201                      ,ENGR 136
ELEE 201                      ,MATH 162
ELEE 201                      ,PHYS 102
ELEE 202                      ,ENGR 136
ELEE 202                      ,MATH 162
ELEE 202                      ,PHYS 102
ELEE 206                      ,ELEE 202
ELEE 206                      ,ELEE 210
ELEE 238                      ,ENGR 136
ELEE 301                      ,ENGR 202
ELEE 301                      ,MATH 262
ELEE 302                      ,ENGR 202
ELEE 302                      ,MATH 262
ELEE 303                      ,ELEE 202
ELEE 304                      ,ELEE 202
ELEE 304                      ,MATH 262
ELEE 306                      ,ELEE 301
ELEE 308                      ,ELEE 206
ELEE 321                      ,ELEE 202
ELEE 404                      ,ELEE 304
ELEE 421                      ,ELEE 213
ELEE 421                      ,ELEE 321
ELEE 422                      ,ELEE 401
ELEE 422                      ,ELEE 421
ELEE 431                      ,ELEE 321
ELEE 431                      ,MATH 262
ELEE 432                      ,ELEE 401
ELEE 432                      ,ELEE 431
ELEE 441                      ,ELEE 302
ELEE 442                      ,ELEE 401
ELEE 442                      ,ELEE 441
ELEE 452                      ,ELEE 451
ENGR 210                      ,ENGR 136
ENGR 210                      ,MATH 162
ENGR 210                      ,PHYS 102
ENGR 211                      ,MATH 162
ENGR 211                      ,PHYS 101
ENGR 212                      ,ENGR 211
ENGR 213                      ,MATH 162
ENGR 213                      ,PHYS 101
ENGR 402                      ,MATH 162
HUMA 201                      ,HUMA 101
HUMA 201                      ,HUMA 102
MECE 201                      ,ENGR 136
MECE 214                      ,MATH 261
MECE 252                      ,MECE 251
MECE 311                      ,MECE 201
MECE 311                      ,MECE 211
MECE 312                      ,MECE 311
MECE 314                      ,MECE 212
MECE 321                      ,MECE 214
MECE 325                      ,MECE 214
MECE 326                      ,MECE 325
MECE 351                      ,MECE 251
MECE 351                      ,MECE 252
MECE 352                      ,MECE 251
MECE 352                      ,MECE 252
MECE 352                      ,MECE 351
MECE 403                      ,MECE 201
MECE 407                      ,ENGR 210
MECE 407                      ,ENGR 212
MECE 408                      ,ENGR 212
MECE 408                      ,MECE 311
MECE 411                      ,MECE 312
MECE 411                      ,MECE 314
MECE 412                      ,MECE 401
MECE 412                      ,MECE 411
MECE 414                      ,MECE 321
MECE 414                      ,MECE 326
MECE 415                      ,MECE 312
MECE 415                      ,MECE 326
MECE 421                      ,MECE 325
MECE 421                      ,MECE 326
MECE 422                      ,MECE 321
MECE 422                      ,MECE 401
MECE 422                      ,MECE 421
MECE 451                      ,MECE 351
MECE 451                      ,MECE 352
MECE 452                      ,MECE 351
MECE 452                      ,MECE 352
MECE 452                      ,MECE 451
